datadate	Fiscal Year	tic	Company Name	Nation	Total Assets	Return on Assets	Net Income	Cost of Goods Sold	Total Revenue	Expense: R&D	Expense: Admin, Selling	# Employees	Book Value per Share	log(R&D)	log(assets)	log(cgs)	log(revenue)
20100630	2010	QNST	QUINSTREET INC	USA	$434.63 	0.047359823	$20.58 	$223.21 	$334.84 	$21.00 	$54.57 	637	6.4349	3.044570056	6.074495094	5.408130953	5.813637873
20101231	2010	BSFT	BROADSOFT INC	USA	$127.36 	0.062753227	$7.99 	$17.43 	$95.62 	$19.62 	$63.94 	372	2.0645	2.97634556	4.846986315	2.858078108	4.560413377
20101231	2010	3SAJA	SAJAN INC	USA	$8.40 	-0.360066635	($3.03)	$9.48 	$15.99 	$1.72 	$7.97 	112	0.1708	0.540578582	2.128707783	2.248762286	2.772026064
20101231	2010	QLIK	QLIK TECHNOLOGIES INC	USA	$265.06 	0.050991459	$13.52 	$22.01 	$226.52 	$13.54 	$174.48 	780	2.0214	2.605426677	5.579971306	3.091451461	5.422837656
20100930	2010	KONE	KINGTONE WIRELESSINFO  -ADR	CHN	$38.07 	0.216347543	$8.24 	$2.13 	$14.51 	$0.18 	$2.16 	190	2.3405	-1.720369473	3.63950537	0.754712536	2.674562357
20101231	2010	RP	REALPAGE INC	USA	$342.79 	0.000195454	$0.07 	$66.68 	$188.27 	$36.92 	$94.35 	1759	2.5198	3.608807579	5.837123849	4.199860066	5.237898349
20101231	2010	MOTR	MOTRICITY INC	USA	$231.81 	-0.03026133	($7.02)	$47.79 	$133.38 	$8.67 	$80.76 	339	3.4701	2.15952271	5.445935326	3.866879185	4.8931947
20101231	2010	AMAP	AUTONAVI HLDG LTD	DEU	$248.62 	0.076963917	$19.14 	$24.19 	$85.77 	$12.73 	$34.84 	2162	4.391	2.544118509	5.515937693	3.185897984	4.451610998
20101231	2010	KEYW	KEYW HOLDING CORP	USA	$205.26 	0.053131577	$10.91 	$75.68 	$107.99 	$0.99 	$27.26 	722	6.8526	-0.010050336	5.324296956	4.326566778	4.68202011
20101231	2010	CIS	CAMELOT INFO SYSTEMS INC-ADR	CHN	$341.47 	0.05446239	$18.60 	$123.59 	$192.86 	$2.74 	$35.48 	3718	5.628	1.008322817	5.833245185	4.816977727	5.261980092
20101231	2010	CCIH	CHINACACHE INTL HLDGS  -ADR	CHN	$146.89 	-0.057506399	($8.45)	$33.49 	$61.12 	$4.35 	$22.02 	227	4.2651	1.469485952	4.989670392	3.511187166	4.112839145
20101231	2010	CSOD	CORNERSTONE ONDEMAND INC	USA	$42.89 	-1.127663543	($48.37)	$11.64 	$43.73 	$5.60 	$42.29 	327	-8.5553	1.723123677	3.758731956	2.454791026	3.778057233
20101231	2010	DMD	DEMAND MEDIA INC	USA	$488.47 	-0.010901453	($5.33)	$116.55 	$252.94 	$26.54 	$84.85 	600	-8.6511	3.278577668	6.191271916	4.758311785	5.533136492
20101231	2010	BITA	BITAUTO HOLDINGS LTD  -ADR	CHN	$178.14 	-1.083009611	($192.92)	$22.04 	$69.41 	$4.51 	$34.95 	1290	3.0243	1.506740514	5.182547304	3.092949724	4.240030949
20101231	2010	YOKU	YOUKU.COM INC -ADR	CHN	$331.84 	-0.093456564	($31.01)	$39.94 	$58.65 	$4.74 	$28.86 	549	2.7502	1.556037136	5.804664979	3.687403365	4.071604625
20110331	2010	MOBI	SKY-MOBI LTD  -ADR	CHN	$100.26 	0.207635994	$20.82 	$70.99 	$103.13 	$7.98 	$28.37 	534		2.077063717	4.60778676	4.262482675	4.635951542
20101231	2010	WIFI	BOINGO WIRELESS INC	USA	$133.04 	0.118269628	$15.73 	$39.33 	$80.42 	$8.48 	$23.73 	135	-8.541	2.137120653	4.890612252	3.671987586	4.387262902
20101231	2010	LNKD	LINKEDIN CORP	USA	$238.19 	0.064591835	$15.39 	$44.83 	$243.10 	$65.10 	$159.15 	990	0.4677	4.175985991	5.473060278	3.802788328	5.493468768
20101231	2010	MKTG	RESPONSYS INC	USA	$71.90 	0.119582754	$8.60 	$35.14 	$94.07 	$10.60 	$39.67 	488	3.2788	2.360570942	4.275276265	3.559311625	4.544049816
20110131	2010	P	PANDORA MEDIA INC	USA	$99.21 	-0.017780645	($1.76)	$79.34 	$137.76 	$6.74 	$57.17 		-5.2983	1.907466277	4.597228736	4.373717207	4.925542076
20101231	2010	AWAY	HOMEAWAY INC	USA	$489.74 	0.03457739	$16.93 	$23.57 	$167.88 	$18.70 	$114.17 	842		2.928683939	6.193878722	3.15988986	5.123273265
20101231	2010	APAD	APACHE DESIGN SOLUTIONS-REDH	USA	$52.71 	0.062681414	$3.30 	$6.21 	$44.05 	$11.52 	$29.37 	257		2.443737373	3.964824162	1.826321914	3.785257246
20101231	2010	QIHU	QIHOO 360 TECHNOLGY CO  -ADR	CHN	$87.81 	0.096893222	$8.51 	$5.41 	$57.67 	$24.51 	$42.16 	860	0.233	3.198877178	4.475152613	1.68769441	4.054650404
20101231	2010	VNET	21VIANET GROUP INC	CHN	$109.94 	-0.351974313	($38.70)	$56.57 	$79.58 	$3.02 	$52.40 	582	-7.83	1.104925651	4.699907474	4.035408098	4.37671254
20101231	2010	RENN	RENREN INC  -ADR	CHN	$456.47 	-0.140544697	($64.16)	$10.36 	$76.54 	$23.70 	$51.49 	1570		3.165432853	6.123531743	2.338145268	4.337748153
20101231	2010	Z	ZILLOW INC  -REDH	USA	$24.01 	-0.282097197	($6.77)	$3.27 	$30.47 	$7.80 	$32.33 	252		2.054123734	3.17859535	1.185706996	3.416644131
20101231	2010	DATE	JIAYUAN.COM INTL LTD	CHN	$24.89 	0.101775956	$2.53 	$8.65 	$25.39 	$0.06 	$12.51 	382	-0.3246	-2.847312268	3.21438576	2.157906082	3.234434164
20101231	2010	YNDX	YANDEX NV	NLD	$413.46 	0.302528183	$125.08 	$84.71 	$409.63 	$67.93 	$128.16 	2385	1.0371	4.218507205	6.024558356	4.439233658	6.015242107
20101231	2010	FENG	PHOENIX NEW MEDIA LTD  -ADR	CHN	$67.77 	0.165641094	$11.23 	$44.14 	$80.11 	$4.70 	$22.29 	836	0.1641	1.54734972	4.216075351	3.787298433	4.383338274
20101231	2010	PEER	INTELEPEER INC  -REDH	USA	$47.19 	-0.246233073	($11.62)	$91.03 	$111.55 	$4.07 	$17.31 	115		1.403397269	3.854118431	4.511233063	4.714463956
20101231	2010	WHSM	WHITESMOKE INC-REDH	ISR	$0.97 	-1.982546201	($1.93)	$0.45 	$5.08 	$0.80 	$5.76 	67		-0.221894332	-0.026343975	-0.807436327	1.625901639
20101231	2010	READ	CLOUDARY CORP  -ADR -REDH	CHN	$123.32 	-0.055131199	($6.80)	$44.18 	$59.55 	$0.91 	$20.90 	778		-0.091019398	4.814815038	3.788294832	4.08678271
20101231	2010	TAOM	TAOMEE HOLDINGS LTD -ADR	CHN	$53.03 	0.406810982	$21.57 	$4.98 	$36.25 	$4.65 	$11.95 	484		1.536652143	3.970895505	1.605630674	3.590466967
20101231	2010	XNET	XUNLEI LTD  -ADS - REDH	CHN	$58.83 	0.14390617	$8.47 	$8.32 	$39.99 	$5.79 	$17.94 	860		1.755441207	4.074651929	2.11818137	3.688654429
20101231	2010	IMPV	IMPERVA INC  -REDH	USA	$40.98 	-0.293164458	($12.01)	$11.16 	$55.38 	$13.21 	$55.36 			2.581276874	3.713010934	2.412604738	4.014254631
20101231	2010	5858B	ZYNGA INC -REDH	USA	$1,112.57 	0.081428438	$90.60 	$136.57 	$597.46 	$149.52 	$335.28 	1483		5.007423475	7.014429731	4.916844626	6.392685662
20101231	2010	SKM	SK TELECOM CO LTD	KOR	$20,035.12 	0.0606544	$1,215.22 	$3,994.69 	$13,652.37 	$239.15 	$5,473.60 	20143	15.6556	5.477074244	9.905241863	8.292721008	9.521668632
20101231	2010	BTM	BRASIL TELECOM SA	BRA	$16,166.26 	0.073310073	$1,185.15 	$2,209.93 	$6,453.75 	$0.24 	$2,111.87 	17873	34.6725	-1.422958345	9.690681881	7.70071793	8.772417256
20101231	2010	FORTY	FORMULA SYSTEMS (1985) LTD	ISR	$623.77 	0.029464528	$18.38 	$397.06 	$549.69 	$5.50 	$90.01 		14.5348	1.705293398	6.435776901	5.984094958	6.30936176
20100630	2010	TLSYY	TELSTRA CORP LTD	AUS	$33,311.14 	0.098849346	$3,292.78 	$11,781.26 	$21,129.62 	$7.63 		41690	4.3262	2.032349934	10.41364703	9.374265752	9.958430937
20100831	2010	CTEL	CITY TELECOM (HONG KONG) LTD	HKG	$289.47 	0.096319864	$27.88 	$70.16 	$202.45 	$1.44 	$71.68 	3232	5.6755	0.361861471	5.668062028	4.25070708	5.310497882
20101231	2010	TLSNY	TELIASONERA AB	SWE	$37,113.04 	0.084840998	$3,148.71 	$6,876.14 	$16,094.45 	$118.65 	$3,746.69 	28945	8.3065	4.776169555	10.52172356	8.835813018	9.686229585
20101231	2010	TELNY	TELENOR ASA	NOR	$29,324.16 	0.082984523	$2,433.45 	$11,178.19 	$16,101.28 	$65.70 		33220	27.4248	4.185098926	10.28616686	9.321719658	9.686654237
20101231	2010	DTEGY	DEUTSCHE TELEKOM	DEU	$169,593.74 	0.013261669	$2,249.10 	$32,862.00 	$84,814.12 	$132.69 	$30,106.03 	246777	11.6786	4.888015581	12.04116111	10.40007238	11.34821733
20101231	2010	TNE	TELE NORTE LESTE PARTICIPACO	BRA	$45,179.11 	0.019001391	$858.47 	$6,277.12 	$17,725.56 	$59.53 	$5,257.28 	28465	17.5668	4.086429991	10.71839016	8.744666078	9.782763058
20101231	2010	TMICY	TREND MICRO INC	JPN	$2,523.56 	0.061718019	$155.75 	$124.21 	$1,167.99 	$43.43 	$672.38 	4846	9.7669	3.771173472	7.83342509	4.821949529	7.06304217
20110331	2010	DCM	NTT DOCOMO INC	JPN	$82,063.71 	0.072219434	$5,926.60 	$18,841.60 	$51,042.45 	$1,318.37 	$13,533.43 	22954	14.1336	7.18414837	11.31525123	9.843822576	10.84041288
20101231	2010	LOV	SPARK NETWORKS INC	USA	$36.57 	0.101290746	$3.70 	$13.75 	$40.85 	$3.09 	$19.20 	144	1.2323	1.128818131	3.599173541	2.620966094	3.709931301
20101231	2010	CHT	CHUNGHWA TELECOM LTD	TWN	$15,590.63 	0.104793834	$1,633.80 	$2,857.69 	$6,946.81 	$111.53 	$952.09 	27165	12.9025	4.714302579	9.654425436	7.957767835	8.846037696
20101231	2010	ITRN	ITURAN LOCATION & CONTROL	ISR	$188.34 	0.046202693	$8.70 	$59.42 	$147.83 	$0.48 	$40.83 	1315	5.2829	-0.731888009	5.238270078	4.08454672	4.996029142
20101231	2010	CHA	CHINA TELECOM CORP LTD	CHN	$61,720.46 	0.038686154	$2,387.73 	$13,589.24 	$33,312.73 	$81.82 	$8,262.12 	313322	43.3336	4.404497268	11.03037068	9.517033729	10.4136948
20101231	2010	LTON	LINKTONE LTD  -ADR	CHN	$191.28 	-0.003027024	($0.58)	$44.87 	$69.62 	$2.81 	$23.52 	472	3.1364	1.033895974	5.253722639	3.803657981	4.243066246
20101231	2010	BLKB	BLACKBAUD INC	USA	$328.09 	0.090843699	$29.81 	$116.55 	$327.09 	$45.53 	$147.18 	2065	2.767	3.818305557	5.793291009	4.758277465	5.790247591
20101231	2010	BBBB	BLACKBOARD INC	USA	$847.15 	0.019647052	$16.64 	$112.77 	$447.32 	$55.01 	$237.16 	1780	11.7719	4.007496808	6.741877775	4.725368081	6.103269751
20101231	2010	3MMRF	MMRGLOBAL INC	USA	$2.23 	-8.034111311	($17.90)	$0.55 	$0.97 	$0.32 	$7.29 	8	-0.0185	-1.130102956	0.801104322	-0.599656837	-0.028399475
20101231	2010	SNDA	SHANDA INTERACTIVE-ADR	CHN	$2,256.49 	0.041237977	$93.05 	$235.68 	$844.28 	$103.54 	$389.07 	8431	23.4512	4.639958012	7.721564901	5.462466467	6.738485378
20101231	2010	VELT	VELTI PLC	IRL	$209.17 	-0.074911076	($15.67)	$39.40 	$116.27 	$7.84 	$53.37 	550	0.9413	2.059238834	5.343137757	3.673791197	4.755906472
20101231	2010	MEDH	MEDQUIST HOLDINGS INC	VGB	$414.88 	0.020504774	$8.51 	$259.19 	$417.33 	$12.03 	$75.80 	12000	1.2498	2.48740353	6.027986912	5.557576816	6.033867691
