Areaname	State	Projects (per 1000 pop)	Pct Added Housing Sq Ft	Pct Change in Permits	Pct Added Housing Value	Empl Change (pct)	Median Age 2000	Percent Under 5	Percent Under 18	Percent Above 65	Employment Change	Unemployment 1990	Unemployment 2000	Unemployment 2008	School (pct)	School Percent HS	Change Housing Value (pct)	Rent (med) 1980	Rent (med)  2000	Income (household median) 1979	Income (median) 1989	Income (median) 1999	Income (median) 2000	Income (median) 2007	Poverty (pct) 2007	Pop Urban (pct) 2000	Pop Density 2008	Pop Female (pct) 2000	Pop White (pct) 2000	Pop Black (pct) 2000	Pop Asian (pct) 2000	Travel time work 2000	Income (per cap) 1980	Income (per cap) 1990	Income (per cap) 2000	---	Alabama	Arkansas	Florida	Georgia	Louisiana	Mississippi	North Carolina	South Carolina	Tennessee	Virginia	West Virginia	Area (sq mile)	Pop (urban) 2000	Pop (rural) 2000	School enroll (pub) 2004	School enroll (pub) 2006	Housing Med Value 1980	Housing Med Value 1990	Housing Med Value 2000	Housing permits 2005	Housing permits 2008	Housing value new 2005	Housing value new 2008	Pop 1980	Pop 1990	Pop 2000	Pop 2008
Lafourche, LA	LA	6.73341745	-21.671018	34.23728814	32.7891406	0.16018883	34.1	6.4	24.4	12	14829	4.5	4.2	3.3	15.7855507	66.3	86.0849057	192	402	17891	21416	34910	36058	41706	17.2	72.1875208	85.3449865	51.2	82.9	12.6	0.7	26.8	9190	13059	22539		0	0	0	0	1	0	0	0	0	0	0	1084.68	64950	25024	14653	14613	42400	52300	78900	388	590	54515	72390	82483	85860	89974	92572
La Salle, LA	LA	0.63302599	100	50	56.56565657	0.02005405	36.4	6.3	24.1	15.4	282	4.9	5.5	3.8	19.3073532	68.5	139.63964	157	329	12194	18597	28189	29359	36307	18.4	27.2160762	22.5413975	49.9	86.1	12.2	0.2	36.3	6566	12175	16546		0	0	0	0	1	0	0	0	0	0	0	623.83	3887	10395	2675	2715	22200	34300	53200	2	4	297	465	17004	13662	14282	14062
Lincoln, LA	LA	2.4763971	-58.088235	-194.7368421	-48.14244988	0.00460515	26.5	6.4	21.3	12.1	196	5.4	5.1	5.1	15.6410799	80.4	113.368984	205	436	12676	19254	26977	28493	31767	23.9	63.487732	90.2902117	51.5	57.4	39.8	1.3	18.6	7162	13791	19632		0	0	0	0	1	0	0	0	0	0	0	471.38	26988	15521	6632	6657	37400	56200	79800	168	57	22099	11460	39763	41745	42509	42561
Natchitoches, LA	LA	2.53740969	-41.836735	-100	-18.56245639	0.03780069	30.2	7.4	24.8	12.5	1496	8.8	5.5	5.8	18.3545583	72.7	124.203822	162	370	10872	15778	25722	26809	30227	28.8	49.2784033	31.5233582	52.5	57.9	38.4	0.4	24.8	5903	11508	18001		0	0	0	0	1	0	0	0	0	0	0	1255.45	19258	19822	7230	7264	31400	46600	70400	114	57	14330	11670	39863	36689	39080	39576
Plaquemines, LA	LA	4.94569119	24.6575342	17.58241758	14.18552336	-0.1100771	33.7	6.4	26.3	11.1	-2342	5.5	5.4	4.1	20.5442752	68.7	144.666667	238	521	17630	24076	38173	37305	44896	16.3	68.4942258	25.1918159	50.2	69.8	23.4	2.6	26.4	9717	15785	20991		0	0	0	0	1	0	0	0	0	0	0	844.56	18327	8430	5942	4371	45000	62200	110100	75	91	7557	8629	26049	25575	26757	21276
Pointe Coupee, LA	LA	3.62452926	-35.227273	-64.9122807	-20.47585833	0.02718629	36.7	6.6	24	14.7	609	10.2	5.9	5	13.3833311	69.1	141.26506	136	343	12529	18772	30618	31675	38131	21.4	41.3653736	40.192701	51.4	60.9	37.8	0.3	31.2	6934	12468	20495		0	0	0	0	1	0	0	0	0	0	0	557.34	9416	13347	3009	2998	33200	48300	80100	94	57	12903	10261	24045	22540	22763	22401
St. Helena, LA	LA	2.72983772	-7.1428571	-7.692307692	-13.86925795	0.0694102	35	5.1	23.9	13.3	732	7.1	5.4	8.5	12.4502181	67.5	189.068826	138	326	9653	15475	24970	26649	32113	21.9	0	25.8252522	52	46.5	52.4	0.1	35.7	5348	9917	16397		0	0	0	0	1	0	0	0	0	0	0	408.36	0	10525	1364	1313	24700	40000	71400	14	13	2264	1950	9827	9874	10525	10546
St. James, LA	LA	3.81357637	-72.674419	-237.254902	-40.73165164	0.02048891	34	7.2	25.6	12.6	435	8.5	8.1	7.3	19.2925439	73.9	85.6492027	116	317	18417	23105	35277	35465	44195	17.1	65.0263952	86.2592939	51.8	50	49.4	0	25.4	8532	14231	18468		0	0	0	0	1	0	0	0	0	0	0	246.13	13796	7420	4022	4096	43900	57100	81500	172	51	17522	10385	21495	20879	21216	21231
St. Martin, LA	LA	3.96628487	-13.586957	-15.72327044	-9.880326308	0.01842716	33.4	7.2	26.3	10.9	960	6.1	5.2	4	16.4731175	62.9	105.730659	143	353	15093	19116	30701	30935	38271	17	32.361114	70.4156248	50.9	65.9	32	0.9	30	6977	10726	17105		0	0	0	0	1	0	0	0	0	0	0	739.85	15722	32861	8535	8582	34900	44400	71800	184	159	24149	21763	40214	43978	48583	52097
St. Mary, LA	LA	2.47465016	-13.333333	-15	-2.613074052	0.03402306	34.3	7.4	26.3	13.5	1738	6.8	6.9	4.6	19.9792495	65.9	64.5232816	212	397	18430	20980	28072	29797	36109	22.4	82.9570093	83.3613473	51.3	62.8	31.8	1.6	18.8	8826	12725	21085		0	0	0	0	1	0	0	0	0	0	0	612.79	44382	9118	10477	10206	45100	49200	74200	92	80	11519	11218	64253	58086	53500	51083
St. Tammany, LA	LA	4.95771795	-62.19611	-134.9250936	-52.59772094	0.1264795	36.3	6.8	25.9	11.7	28895	5.3	4	3.5	15.2576426	83.9	111.433447	252	593	19806	30656	47883	50376	58891	11.2	74.7872096	267.465902	51	87	9.9	0.7	32.1	9996	18075	29235		0	0	0	0	1	0	0	0	0	0	0	854.15	143044	48224	35620	34857	58600	74900	123900	2509	1068	401833	190478	110869	144508	191268	228456
West Feliciana, LA	LA	3.64241723	-56.578947	-130.3030303	-54.89214957	-0.069786	36.6	3.7	15.7	8.5	-1047	7.4	6.3	5.4	16.3100713	53.3	154.137116	137	411	12008	19402	39667	38779	47714	22.5	0	36.953202	34.4	48.6	50.5	0.2	28.4	6011	8918	16060		0	0	0	0	1	0	0	0	0	0	0	406	0	15111	2448	2447	42300	61300	107500	76	33	14789	6671	12186	12915	15111	15003
Bolivar, MS	MS	3.15049603	-7.6923077	-8.333333333	-13.26512612	0.01215217	29.8	8	26.2	11.5	452	8.8	7.5	8.9	18.8224224	65.3	128.8	154	377	9128	14020	23428	24106	26228	39.5	57.7806217	42.4464783	53.2	33.2	65.1	0.5	19.7	5568	10978	17055		0	0	0	0	0	1	0	0	0	0	0	876.28	23478	17155	7315	7001	25000	39200	57200	52	48	5669	4917	45965	41875	40633	37195
Chickasaw, MS	MS	1.65806225	80	44.44444444	300.4672897	-0.0857856	34.4	7.5	26.4	14.5	-1615	14.1	5.6	11.4	17.4598959	59.4	100	144	349	11503	18259	26364	27529	30849	20.1	16.5895062	37.5348911	51.9	56.9	41.3	0.2	23.3	6151	12089	18137		0	0	0	0	0	1	0	0	0	0	0	501.56	3225	16215	3340	3287	25700	37800	51400	5	9	214	857	17853	18085	19440	18826
DeSoto, MS	MS	4.88797034	-78.118318	-298.7252125	-74.31323614	0.14510042	33.7	7.8	29.1	9.7	22454	5.3	2.5	4.9	18.5708377	81.6	175.668449	215	657	18434	31756	48206	49479	58581	7.9	67.5640631	323.835433	50.5	85.8	11.4	0.6	25.8	8383	16406	26058		0	0	0	0	0	1	0	0	0	0	0	477.86	72428	34771	25298	28738	37400	62400	103100	2815	706	336979	86559	53930	67910	107199	154748
Grenada, MS	MS	1.90786258	-41.37931	-70.58823529	-35.44346649	-0.0121331	35.7	7.1	25.2	14.5	-279	10.6	5.8	7.8	20.6697108	63.8	128.428094	145	371	12186	19955	27385	28672	31657	23.7	55.6935907	54.517651	53.2	57.9	40.9	0.3	20.1	6457	12804	19874		0	0	0	0	0	1	0	0	0	0	0	421.79	12956	10307	4685	4753	29900	44300	68300	29	17	2954	1907	21043	21555	23263	22995
Itawamba, MS	MS	0.74666358	30	-15.38461538	14.58745875	0.0438835	36.2	6.4	23	14.9	1017	6.9	5.5	8.3	15.9439051	65.9	106.338028	159	384	12214	20770	31156	32545	37891	14.5	12.0729029	43.536661	51.5	92.5	6.5	0.2	27.2	5713	11800	19423		0	0	0	0	0	1	0	0	0	0	0	532.31	2749	20021	3789	3695	28400	35500	58600	15	13	1515	1736	20518	20017	22770	23175
Jones, MS	MS	1.97170298	105.405405	54.87804878	60.1836969	0.05604333	35.8	8.2	25.7	14.5	3766	6.4	4.6	5.4	16.649305	73.9	96.6666667	158	374	12430	19239	28786	29314	34279	21.7	40.2613997	96.8522095	51.6	71.1	26.3	0.3	22.7	7522	13038	21076		0	0	0	0	0	1	0	0	0	0	0	693.82	26153	38805	11001	11188	30000	41500	59000	37	82	4355	6976	61912	62031	64958	67198
Leflore, MS	MS	4.54903632	56	-204.3478261	-77.9293058	0.01057269	30.1	8.1	27.4	11.4	372	10.3	9.2	9.2	17.1834589	61.9	79.1798107	145	325	9550	15219	21518	22285	24568	42.4	78.6597096	59.4411501	52	30	67.7	0.6	18	6378	12969	17783		0	0	0	0	0	1	0	0	0	0	0	591.93	29849	8098	6254	6046	31700	42700	56800	280	92	23538	5195	41525	37341	37947	35185
Marion, MS	MS	1.14371661	20	16.66666667	-10.08403361	0.0313976	35.1	7.9	26.7	14.5	811	9.7	6.2	7.2	17.1467286	66.5	107.194245	136	345	10761	16084	24555	25724	30948	23.6	30.9630787	47.6269499	51.6	67	31.9	0.2	34.8	6004	10927	17066		0	0	0	0	0	1	0	0	0	0	0	542.34	7925	17670	4421	4429	27800	38800	57600	5	6	595	535	25708	25544	25595	25830
Monroe, MS	MS	1.3095302	-42.857143	-112.5	-52.08893232	0.00174497	35.7	7	24.4	15.5	65	7.8	7.3	10.2	15.7422819	65.5	126.056338	147	362	11718	20047	30307	31365	35083	18.4	34.9292366	48.7456979	52.7	68.4	30.8	0.2	25.7	6598	12136	19403		0	0	0	0	0	1	0	0	0	0	0	764.17	13278	24736	6059	5864	28400	39200	64200	34	16	4093	1961	36404	36582	38014	37250
Neshoba, MS	MS	1.59957793	-100	-43.75	-53.05877649	0.06754012	34.7	8.6	28.3	14.1	2062	6.6	5.6	5.7	13.986243	67.7	105.904059	139	343	10880	18237	28300	28648	31036	22.5	23.019802	53.5614035	52.3	65.5	19.3	0.2	24.1	5744	11871	20436		0	0	0	0	0	1	0	0	0	0	0	570	6603	22081	4166	4270	27100	38000	55800	46	32	2501	1174	23789	24800	28684	30530
Panola, MS	MS	2.02783751	-43.902439	-78.26086957	-7.078507079	0.03583847	33	8	27.4	12.8	1278	9.2	7.3	8.7	18.2417274	63.5	120.229008	152	387	9654	17686	26785	27282	32514	28.5	27.4989788	52.1192634	52.1	50.5	48.4	0.2	27.2	5700	11548	17177		0	0	0	0	0	1	0	0	0	0	0	684.2	9425	24849	6556	6505	26200	39300	57700	41	23	2331	2166	28164	29996	34274	35660
Pearl River, MS	MS	6.82196439	-31.842105	-4.301075269	-0.866822483	0.06504716	35.9	6.9	25.6	13.4	3738	8.7	5.3	6.8	15.9694428	74.6	127.678571	183	421	12085	20133	30912	31197	37380	19	30.3449127	70.8293789	51.4	85.6	12.2	0.3	36.4	6898	11391	17862		0	0	0	0	0	1	0	0	0	0	0	811.33	14754	33867	8715	9177	33600	45100	76500	388	372	44069	43687	33795	38714	48621	57466
Perry, MS	MS	0.72744702	-83.333333	-500	-85.42274052	0.02836126	33.5	7.1	26.4	12.6	347	9.1	6.4	8.4	17.6542705	72	141.810345	154	310	11015	16230	27189	28141	35160	19.4	0	18.905096	51.1	76.2	22.6	0.1	36.1	6202	9610	14747		0	0	0	0	0	1	0	0	0	0	0	647.18	0	12138	2115	2160	23200	34300	56100	6	1	343	50	9864	10865	12138	12235
Pontotoc, MS	MS	1.39986209	57.1428571	44.82758621	73.64203028	0.06554268	34.8	7.7	26.2	13.1	1901	6.1	4.7	8	19.1318439	66.7	144.117647	155	391	11335	20223	32055	33204	38163	16.2	16.0181097	58.3170805	51.4	84.4	14	0.1	23.3	6318	12255	18635		0	0	0	0	0	1	0	0	0	0	0	497.35	4281	22445	5406	5549	27200	41200	66400	16	29	1123	1950	20918	22237	26726	29004
Rankin, MS	MS	5.27916908	-58.461538	-146.962963	-50.6159917	0.10839526	34.6	7.6	25.8	10.7	15273	4.3	3.7	4.3	15.1354497	81.8	109.341826	235	576	18348	31668	44946	45021	53561	9.4	60.0067634	181.920415	51.1	81	17.1	0.7	25.5	8373	15499	26517		0	0	0	0	0	1	0	0	0	0	0	774.52	69204	46123	20195	21326	47100	64400	98600	1667	675	215912	106626	69427	87161	115327	140901
Stone, MS	MS	1.54701137	-70.588235	-137.5	10.7266436	0.03806552	33.6	7	25.2	11.8	610	7.3	5.8	6.1	17.4914197	74.8	176.653696	176	429	13104	19045	30495	30230	39842	17.9	21.156952	35.9813189	50.4	79.4	19.2	0.2	33	6976	11681	19441		0	0	0	0	0	1	0	0	0	0	0	445.37	2882	10740	2639	2803	25700	39100	71100	38	16	1445	1600	9716	10750	13622	16025
Tate, MS	MS	4.19745994	-61.206897	-157.7777778	-56.44340188	-0.0055932	34.2	7.5	25.7	12.1	-152	7.4	3.8	7	17.7877539	71.7	147.678019	168	410	12109	22207	35836	35618	40478	15.8	31.1785574	67.1875	51.6	67.8	31	0.1	31.1	7040	12811	21058		0	0	0	0	0	1	0	0	0	0	0	404.48	7910	17460	4629	4834	32300	49500	80000	232	90	20036	8727	20119	21432	25370	27176
Tunica, MS	MS	3.44139576	-73.684211	-280	-71.22122122	-0.2491386	30.6	10.1	31.5	9.7	-2603	13.4	5.2	11	21.4490812	60.5	127.2	137	459	6620	10965	23270	24819	29894	25.4	41.0209169	22.9722302	52.3	27.5	70.2	0.4	19.7	4780	10357	17347		0	0	0	0	0	1	0	0	0	0	0	454.81	3785	5442	2307	2241	25000	35400	56800	57	15	3996	1150	9652	8164	9227	10448
Warren, MS	MS	1.58781162	-46.875	-88.23529412	-46.88853431	-0.0187161	34.8	7.8	27.5	12.1	-900	7.5	5.3	6.6	18.8158962	77	120.334262	191	466	15869	22804	35056	35383	40263	19.2	63.1919265	81.9743953	53.1	55	43.2	0.6	21	8447	15398	25030		0	0	0	0	0	1	0	0	0	0	0	586.61	31371	18273	8898	9048	35900	50600	79100	32	17	4387	2330	51627	47880	49644	48087
Winston, MS	MS	5.52547345	100	97.61904762	2528.888889	-0.0072031	36.3	6.8	23.8	17	-141	7.9	7.1	7.8	14.7279693	68.2	103.225806	134	370	10686	18320	28256	28844	33633	21.5	24.8412698	32.2503583	51.6	55.3	43.2	0.1	26.1	5904	11846	18083		0	0	0	0	0	1	0	0	0	0	0	606.97	5008	15152	2911	2883	27900	39100	56700	2	84	360	9464	19474	19433	20160	19575
Yalobusha, MS	MS	2.13173114	-54.83871	-121.4285714	-60.8815427	-0.01048	37.7	7.7	25.1	16	-143	9.2	6.1	9	14.4448516	69	120.512821	138	304	10293	15885	26315	27185	31485	24.8	19.3778255	29.2109094	52.3	60.5	38.7	0.1	26	6354	12830	18602		0	0	0	0	0	1	0	0	0	0	0	467.12	2529	10522	2018	1971	23400	35500	51600	31	14	1089	426	13139	12033	13051	13645
Alamance, NC	NC	5.67043972	-52.432432	-95.26315789	-45.07891172	0.00904406	36.3	6.7	23.8	13.8	1339	4.1	3.2	6.6	16.1259819	76.5	226.829268	195	557	15672	27231	39168	39163	41922	13	69.2775229	344.31731	52	75.6	18.8	0.9	21.6	8737	17358	26091		0	0	0	0	0	0	1	0	0	0	0	429.99	90615	40185	22798	23875	32800	65300	107200	1484	760	190466	104606	99319	108213	130800	148053
Alexander, NC	NC	5.38637561	22.2929936	18.22916667	-15.43892757	0.01926814	36.6	5.9	22.4	13.7	704	3.7	2.8	7.3	15.6854695	68.7	168.539326	177	439	15004	26539	38684	39683	42197	11.8	17.2365563	140.429703	50.2	92	4.6	1	22.9	7232	15576	24246		0	0	0	0	0	0	1	0	0	0	0	260.18	5792	27811	5680	5731	35600	58100	95600	157	192	30734	25989	24999	27544	33603	36537
Ashe, NC	NC	7.91821804	-40.294118	-67.48768473	-19.1827928	0.04478251	42.1	5.6	19.6	19.4	1151	5.8	5.1	6.9	13.2479963	68.6	175.903614	153	375	10372	18951	28824	30017	35288	15.2	0	60.3149274	50.7	97.2	0.7	0.2	26.6	5743	13267	23210		0	0	0	0	0	0	1	0	0	0	0	426.13	0	24384	3288	3405	33200	57600	91600	340	203	59324	47944	22325	22209	24384	25702
Cabarrus, NC	NC	8.44979224	-62.150785	-94.51353328	-46.07861273	0.10288017	35.4	8	26.9	10.5	17360	3.7	3	5.9	18.5219865	78.2	242.608696	164	566	15887	30133	46140	46415	51927	11.1	72.4414976	463.075276	50.8	83.3	12.2	0.9	27	8447	17945	29279		0	0	0	0	0	0	1	0	0	0	0	364.39	94944	36119	27414	31254	34500	65500	118200	2659	1367	335162	180724	85895	98935	131063	168740
Carteret, NC	NC	4.8997389	-70.560191	-248.4848485	-70.61977507	0.08112984	42.3	5.3	19.6	17.9	5127	4.3	4.2	5.5	13.8539441	82.1	235.772358	205	511	14012	25811	38344	38728	47064	10.7	61.9722816	121.566251	50.9	90.3	7	0.5	23	7757	15118	25756		0	0	0	0	0	0	1	0	0	0	0	519.84	36801	22582	8611	8755	36900	73100	123900	1035	297	223807	65755	41092	52556	59383	63195
Clay, NC	NC	8.30084347	-61.607143	-181.3953488	-53.13599207	0.06680142	46.7	4.5	17.8	23.4	694	5.8	4.1	6.6	13.668303	76.5	217.834395	157	408	10252	18532	31397	31893	37419	14.2	0	48.388449	51.3	98	0.8	0.1	26.2	5746	12807	21160		0	0	0	0	0	0	1	0	0	0	0	214.7	0	8775	1304	1420	31400	56500	99800	242	86	40370	18919	6619	7155	8775	10389
Craven, NC	NC	6.00137685	-63.556338	-150.9765625	-65.54323053	0.04951905	34.4	8	25.8	15.5	4798	4.7	4.2	6.1	15.2045577	82.1	155.555556	206	501	13060	25619	35966	36802	44227	13.9	67.7862111	136.770041	49.5	69.9	25.1	1	20.6	8207	15752	25859		0	0	0	0	0	0	1	0	0	0	0	708.43	61981	29455	14697	14732	37800	65900	96600	1285	512	138652	47775	71043	81613	91436	96892
Currituck, NC	NC	5.78814823	-72.049689	-259.2592593	-72.07495514	0.13075301	38.3	5.7	22.9	11.6	3162	3.3	2.8	4.5	16.9871397	77.6	240.707965	222	590	12785	27905	40822	41648	52893	10.1	0	92.4073366	50.3	90.4	7.2	0.4	35	7766	15539	25587		0	0	0	0	0	0	1	0	0	0	0	261.7	0	18190	3867	4108	33900	79200	115500	485	135	162177	45288	11089	13736	18190	24183
Davidson, NC	NC	3.52871768	-52.034059	-113.5396518	-48.98450083	0.00617705	37.1	6.3	23.5	13.6	977	4	3.3	7.3	16.7298914	72	190.855457	194	464	15238	27913	38640	40089	43663	15.1	43.0768917	286.454768	51	87.1	9.1	0.8	22.8	8072	16410	26719		0	0	0	0	0	0	1	0	0	0	0	552.15	63429	83817	25339	26461	33900	60800	98600	1104	517	191236	97560	113162	126677	147246	158166
Duplin, NC	NC	2.43734803	-28.333333	-65.11627907	7.686965812	0.02201941	34.9	7.7	25.9	12.9	1175	5.6	4.3	5.9	16.9202803	65.8	202.834008	156	399	11133	19695	29890	29157	35040	19.4	13.4643214	65.2562582	50.4	58.7	28.9	0.2	26.6	5592	14337	20911		0	0	0	0	0	0	1	0	0	0	0	817.73	6606	42457	8989	9029	24700	42600	74800	142	86	18720	20159	40952	39995	49063	53362
Forsyth, NC	NC	5.62024231	-44.820296	-87.11985689	-55.4358019	0.04586506	36	7.3	24.5	12.6	15733	4	3.2	5.8	15.5165176	82	171.428571	212	523	16600	30449	42097	42783	46561	14.1	90.9117938	837.470703	52.2	68.5	25.6	1	21.2	10499	22185	31013		0	0	0	0	0	0	1	0	0	0	0	409.6	278251	27816	50496	53226	42000	75700	114000	3138	1677	399895	178210	243683	265878	306067	343028
Granville, NC	NC	6.99251485	-53.354633	-94.44444444	-49.31857458	0.04585934	36.2	6	22.8	10.8	2616	4.7	4.4	6.7	15.4862913	73	208.923077	146	481	13575	26488	39965	39520	44923	13.2	34.4261619	107.403223	47.5	60.7	34.9	0.4	27.4	6700	13946	22315		0	0	0	0	0	0	1	0	0	0	0	531.12	16696	31802	8674	8834	32500	59100	100400	665	342	91426	46336	34043	38345	48498	57044
Guilford, NC	NC	6.61627783	-63.764988	-83.03407842	-54.21914306	0.04000288	34.9	6.7	23.7	12.1	18890	3.6	3.3	6.2	15.4780863	83	168.119266	223	590	16473	30148	42618	42853	46510	15.5	83.8049344	727.134982	52.1	64.5	29.3	2.4	21.4	10062	21115	30775		0	0	0	0	0	0	1	0	0	0	0	649.42	352859	68189	69688	73090	43600	79400	116900	4995	2729	729058	333769	317154	347420	421048	472216
Martin, NC	NC	2.87847459	19.3548387	16.21621622	29.65043695	0.00363279	38.7	6.2	22.9	16.9	85	5.4	7	6.7	18.2152321	70.7	119.230769	173	400	11787	19995	28793	28913	32920	19.8	22.4084711	50.736171	53.6	52.5	45.4	0.2	24.3	6860	13770	20565		0	0	0	0	0	0	1	0	0	0	0	461.17	5735	19858	4528	4262	31200	46600	68400	31	37	4806	6231	25948	25078	25593	23398
Nash, NC	NC	4.47007665	-45.24207	-110.9756098	-39.65746027	0.04019258	36.5	6.7	24.4	14.3	3765	4.2	4.6	7.7	20.5617354	75.6	156.149733	193	494	13628	25834	37147	37796	45288	14.6	51.5179593	173.383679	51.9	61.9	33.9	0.6	22.7	8115	17153	25263		0	0	0	0	0	0	1	0	0	0	0	540.27	45037	42383	19454	19261	37400	63200	95800	692	328	64810	39108	67153	76677	87420	93674
New Hanover, NC	NC	6.81693202	-72.642706	-178.9991797	-64.55124881	0.13641463	36.3	6.4	21.5	13.5	26265	4.6	3.7	5.3	12.6369859	86.3	264.516129	212	631	15341	27320	40172	40740	48106	13.7	95.3982047	967.868094	51.7	79.9	17	0.8	20.7	8476	17611	28531		0	0	0	0	0	0	1	0	0	0	0	198.93	152930	7377	23579	24331	37200	72000	135600	3401	1219	594004	210567	103471	120284	160307	192538
Northampton, NC	NC	2.5757488	-89.830508	-883.3333333	-75.7589803	0.08254015	40	5.7	21	19.7	1691	4.7	5.5	8	15.8441939	62.5	169.953052	140	386	10347	18029	26652	27438	34008	21.4	9.79806212	38.1878169	52.1	39.1	59.4	0.1	27.2	6308	12264	20786		0	0	0	0	0	0	1	0	0	0	0	536.48	2164	19922	3567	3246	21300	38100	57500	177	18	17260	4184	22584	20798	22086	20487
Onslow, NC	NC	7.97713656	-32.328106	-47.08737864	-38.1114459	0.08538731	25	9.7	27.6	7.3	14169	5	4.4	5.8	14.0721233	84.3	147.550432	218	518	12336	23386	33756	33760	41799	14.2	71.2300888	216.39759	44.8	72.1	18.5	1.7	21.2	7152	13129	22949		0	0	0	0	0	0	1	0	0	0	0	766.82	107098	43257	22230	23351	34700	62200	85900	1818	1236	215064	133100	112784	149838	150355	165938
Pamlico, NC	NC	6.38194849	-28.282828	-50.70422535	-14.26920341	0.02863542	42.9	4.4	17.2	22	358	4.1	4.1	6.1	15.5575108	75.2	273.029046	173	466	11765	21060	34084	34024	40890	14.3	0	37.104529	49.6	73.2	24.6	0.4	28.9	7513	14083	23162		0	0	0	0	0	0	1	0	0	0	0	336.94	0	12934	2044	1945	24100	54300	89900	107	71	22496	19286	10398	11372	12934	12502
Pasquotank, NC	NC	8.36720099	-73.883929	-84.51178451	-56.62848735	0.11053003	35.9	7.1	23.7	12.9	4544	4.4	3.8	7	15.4022038	76.8	165.52795	198	493	12288	21816	30444	31727	39270	18.2	54.9101642	181.201516	51.6	56.9	40	0.9	22.8	7569	14565	20799		0	0	0	0	0	0	1	0	0	0	0	226.88	19162	15735	6139	6332	32200	59300	85500	548	297	69322	30066	28462	31298	34897	41111
Pender, NC	NC	7.3001578	-71.060172	-222.0588235	-67.57304972	0.07939354	38.8	5.8	21.8	15.4	4074	4.6	4.1	6.2	15.373972	76.8	312.363636	176	491	11879	23270	35902	35542	45230	12.8	7.89396816	58.9362215	49.7	72.7	23.6	0.2	29.2	6716	13954	21251		0	0	0	0	0	0	1	0	0	0	0	870.67	3243	37839	7162	7889	27500	60200	113400	1095	340	145928	47320	22215	28855	41082	51314
Richmond, NC	NC	4.8927306	-53.684211	-111.8918919	-50.05996642	-0.0130855	35.5	7	24.8	14.2	-602	5.9	5.4	9.6	17.713292	69.2	133.464567	164	404	13419	21953	28830	29367	31944	20.6	54.1813418	97.0610574	50.9	64.8	30.5	0.7	21.6	6578	13538	20239		0	0	0	0	0	0	1	0	0	0	0	473.98	25229	21335	8305	8149	25400	40000	59300	392	185	16676	8328	45481	44518	46564	46005
Rockingham, NC	NC	2.5105429	-51.48248	-144.4444444	-38.56964051	-0.0280987	38.5	5.9	22.3	15.8	-2593	5.3	4.8	7.7	15.1968965	68.9	178.767123	175	437	14606	25402	33784	34672	39413	15.1	40.7046819	162.915755	51.7	77.3	19.6	0.3	26.1	8314	15528	22229		0	0	0	0	0	0	1	0	0	0	0	566.44	37419	54509	14930	14024	29200	48800	81400	440	180	63117	38773	83426	86064	91928	92282
Rowan, NC	NC	4.47369469	-13.395639	-55.35714286	-25.07659783	-0.0040869	36.4	6.4	23.4	14.3	-569	4	4.5	7	15.2199677	74.2	196.573209	181	496	15282	26354	37494	37874	46071	12.3	58.781648	272.290782	50.6	80	15.8	0.8	23.3	8331	15814	24152		0	0	0	0	0	0	1	0	0	0	0	511.31	76616	53724	21009	21190	32100	54600	95200	870	560	130552	97814	99186	110605	130340	139225
Scotland, NC	NC	2.05179953	-41.935484	-91.66666667	-49.91738951	-0.0787499	34.6	6.9	24.8	12.4	-2875	8.8	6.4	11.3	19.5409225	71.4	139.215686	171	433	13902	22561	31010	31138	33025	25.5	47.1692872	114.394936	53.1	51.5	37.3	0.5	22.4	7137	13000	20547		0	0	0	0	0	0	1	0	0	0	0	319.14	16980	19018	7223	7134	30600	48000	73200	69	36	9684	4850	32273	33754	35998	36508
Stanly, NC	NC	4.6396393	-53.99061	-100.7782101	-51.85509133	-0.0072466	36.9	6.3	23.2	15.1	-432	4.7	3.9	6.7	17.0127822	73.4	188.486842	174	463	14510	25374	36898	37839	40245	13.8	32.253012	150.898598	50.7	84.7	11.5	1.8	25.3	7750	15661	23109		0	0	0	0	0	0	1	0	0	0	0	395.06	18739	39361	10014	10142	30400	52800	87700	516	257	49162	23669	48517	51765	58100	59614
Stokes, NC	NC	3.12317484	-51.879699	-92.75362319	-27.18135212	0.00935652	37.2	5.2	21.7	15.4	432	4.3	3.5	6	16.0360399	73.2	169.80057	176	449	15287	27945	38808	40623	45523	11	20.1315113	102.184402	51	93.4	4.7	0.2	30.7	7557	15268	22824		0	0	0	0	0	0	1	0	0	0	0	451.84	9001	35710	7407	7404	35100	59100	94700	266	138	39597	28834	33086	37223	44711	46171
Transylvania, NC	NC	5.15528009	-47.404844	-112.5	-42.19490134	0.02514327	43.9	5	18.7	24.8	759	3.6	3.3	5.2	13.1811707	82.5	211.195929	191	468	16048	25179	38587	39200	42312	12.9	37.0900661	79.7774783	51.9	93.7	4.2	0.4	22.1	7889	16400	26233		0	0	0	0	0	0	1	0	0	0	0	378.39	10880	18454	4002	3979	39300	72200	122300	323	152	84022	48569	23417	25520	29334	30187
