Name	Class	Vehicle Type	Transmission	Combined MPG	Weight (pounds)	Displacement (liters)	Horsepower	Air Aspiration	# Cylinders	City MPG	Highway MPG	log10(MPG)	log10(HP)	log10(displacement)	log10(weight)	Truck Dummy	SUV Dummy	Truck * log HP	SUV * log HP
TOYOTA HIGHLANDER HYBRID 4WD	Special Purpose Vehicle, SUV 4WD	suv	Continuously Variable	28	5250	3.5	231	Naturally Aspirated	6	28	28	1.447158031	2.36361198	0.544068044	3.720159303	0	1	0	2.36361198
SCION iQ	Minicompact Cars	car	Continuously Variable	37	2375	1.3	94	Naturally Aspirated	4	36	37	1.568201724	1.973127854	0.113943352	3.375663614	0	0	0	0
LEXUS IS 250/IS 250C	Subcompact Cars	car	Manual	22	4250	2.5	204	Naturally Aspirated	6	19	28	1.342422681	2.309630167	0.397940009	3.62838893	0	0	0	0
TOYOTA PRIUS v	Midsize Station Wagons	suv	Continuously Variable	42	3625	1.8	98	Naturally Aspirated	4	44	40	1.62324929	1.991226076	0.255272505	3.559308011	0	1	0	1.991226076
TOYOTA PRIUS	Midsize Cars	car	Continuously Variable	50	3375	1.8	98	Naturally Aspirated	4	51	48	1.698970004	1.991226076	0.255272505	3.528273777	0	0	0	0
TOYOTA TACOMA 2WD	Small Pick-up Trucks 2WD	truck	Automatic	21	4000	2.7	159	Naturally Aspirated	4	19	24	1.322219295	2.201397124	0.431363764	3.602059991	1	0	2.201397124	0
TOYOTA TACOMA 2WD	Small Pick-up Trucks 2WD	truck	Automatic	19	4500	4	236	Naturally Aspirated	6	17	21	1.278753601	2.372912003	0.602059991	3.653212514	1	0	2.372912003	0
TOYOTA TACOMA 2WD	Small Pick-up Trucks 2WD	truck	Manual	22	3875	2.7	159	Naturally Aspirated	4	21	25	1.342422681	2.201397124	0.431363764	3.588271707	1	0	2.201397124	0
TOYOTA TACOMA 2WD	Small Pick-up Trucks 2WD	truck	Manual	18	4250	4	236	Naturally Aspirated	6	16	21	1.255272505	2.372912003	0.602059991	3.62838893	1	0	2.372912003	0
TOYOTA TACOMA 4WD	Small Pick-up Trucks 4WD	truck	Automatic	19	4250	2.7	159	Naturally Aspirated	4	18	21	1.278753601	2.201397124	0.431363764	3.62838893	1	0	2.201397124	0
TOYOTA TACOMA 4WD	Small Pick-up Trucks 4WD	truck	Automatic	18	4500	4	236	Naturally Aspirated	6	16	21	1.255272505	2.372912003	0.602059991	3.653212514	1	0	2.372912003	0
TOYOTA TACOMA 4WD	Small Pick-up Trucks 4WD	truck	Manual	19	4250	2.7	159	Naturally Aspirated	4	18	20	1.278753601	2.201397124	0.431363764	3.62838893	1	0	2.201397124	0
TOYOTA TACOMA 4WD	Small Pick-up Trucks 4WD	truck	Manual	17	4500	4	236	Naturally Aspirated	6	15	19	1.230448921	2.372912003	0.602059991	3.653212514	1	0	2.372912003	0
SCION tC	Compact Cars	car	Manual	26	3375	2.5	180	Naturally Aspirated	4	23	31	1.414973348	2.255272505	0.397940009	3.528273777	0	0	0	0
TOYOTA YARIS	Compact Cars	car	Automatic	32	2625	1.5	106	Naturally Aspirated	4	30	35	1.505149978	2.025305865	0.176091259	3.419129308	0	0	0	0
TOYOTA YARIS	Compact Cars	car	Manual	33	2625	1.5	106	Naturally Aspirated	4	30	38	1.51851394	2.025305865	0.176091259	3.419129308	0	0	0	0
Audi A8L	Large Cars	car	Semi-Automatic	16	5000	6.3	500	Naturally Aspirated	12	14	21	1.204119983	2.698970004	0.79934055	3.698970004	0	0	0	0
Volkswagen BEETLE	Subcompact Cars	car	Semi-Automatic	25	3375	2.5	170	Naturally Aspirated	5	22	29	1.397940009	2.230448921	0.397940009	3.528273777	0	0	0	0
Volkswagen EOS	Subcompact Cars	car	Semi-Automatic	25	3500	2	200	Turbocharged	4	22	30	1.397940009	2.301029996	0.301029996	3.544068044	0	0	0	0
Volkswagen GOLF	Compact Cars	car	Manual	34	3500	2	140	Turbocharged	4	30	42	1.531478917	2.146128036	0.301029996	3.544068044	0	0	0	0
Volkswagen Jetta	Compact Cars	car	Manual	28	3625	2	140	Naturally Aspirated	4	24	34	1.447158031	2.146128036	0.301029996	3.559308011	0	0	0	0
Volkswagen Jetta	Compact Cars	car	Manual	26	3500	2.5	170	Naturally Aspirated	5	23	33	1.414973348	2.230448921	0.397940009	3.544068044	0	0	0	0
Volkswagen Jetta	Compact Cars	car	Semi-Automatic	27	3250	2	115	Turbocharged	4	24	32	1.431363764	2.06069784	0.301029996	3.511883361	0	0	0	0
Volkswagen Passat	Midsize Cars	car	Manual	35	3750	2	140	Turbocharged	4	31	43	1.544068044	2.146128036	0.301029996	3.574031268	0	0	0	0
Volkswagen Passat	Midsize Cars	car	Semi-Automatic	34	3750	2	140	Turbocharged	4	30	40	1.531478917	2.146128036	0.301029996	3.574031268	0	0	0	0
Volkswagen Passat	Midsize Cars	car	Semi-Automatic	23	3750	3.6	280	Naturally Aspirated	6	20	28	1.361727836	2.447158031	0.556302501	3.574031268	0	0	0	0
