Name	Company	TICKER	Total Compensation ($ Million)	Total Revenue ($ Billion)	Log Total Compensation	Log Total Revenue
Ward M. Klein	ENERGIZER HOLDINGS INC	ENR	$9.36 	$4.25 	6.971	0.628
John F. Young	ENERGY FUTURE HOLDINGS CORP	0033A	$6.86 	$8.24 	6.836	0.916
Keith S. Walters	ENNIS INC	EBF	$2.93 	$0.55 	6.466	-0.26
Stephen E. MacAdam	ENPRO INDUSTRIES INC	NPO	$4.19 	$0.87 	6.623	-0.063
Daniel W. Rabun	ENSCO PLC -ADR	ESV	$7.14 	$1.70 	6.854	0.23
Christopher R. Christensen	ENSIGN GROUP INC	ENSG	$1.58 	$0.65 	6.199	-0.187
David J. Field	ENTERCOM COMMUNICATIONS CORP	ETM	$9.12 	$0.39 	6.96	-0.407
J. Wayne Leonard	ENTERGY CORP	ETR	$8.28 	$11.49 	6.918	1.06
David M. Brain	ENTERTAINMENT PROPERTIES TR	EPR	$2.94 	$0.32 	6.468	-0.501
Patrick C. Henry	ENTROPIC COMMUNICATIONS INC	ENTR	$2.45 	$0.21 	6.388	-0.677
Elazar Rabbani, Ph.D.	ENZO BIOCHEM INC	ENZ	$1.31 	$0.10 	6.117	-1.013
Mark G. Papa	EOG RESOURCES INC	EOG	$13.09 	$5.85 	7.117	0.767
L. George Klaus	EPICOR SOFTWARE CORP	EPIC	$3.84 		6.584	
Tom W. Olofson	EPIQ SYSTEMS INC	EPIQ	$3.91 	$0.25 	6.592	-0.607
David L. Porges	EQT CORP	EQT	$6.28 	$1.32 	6.798	0.121
Richard F. Smith	EQUIFAX INC	EFX	$9.64 	$1.86 	6.984	0.269
Stephen M. Smith	EQUINIX INC	EQIX	$5.46 	$1.22 	6.737	0.086
Jeffrey S. Olson, CPA	EQUITY ONE INC	EQY	$9.15 	$0.29 	6.962	-0.543
David J. Neithercut	EQUITY RESIDENTIAL	EQR	$4.27 	$2.00 	6.63	0.3
Michael J. McKelvey, Ph.D.	ERESEARCHTECHNOLOGY INC	ERT	$2.13 	$0.14 	6.327	-0.851
Victor L. Richey, Jr.	ESCO TECHNOLOGIES INC	ESE	$2.56 	$0.61 	6.408	-0.216
Keith R. Guericke	ESSEX PROPERTY TRUST	ESS	$2.56 	$0.44 	6.408	-0.355
Richard Bradley Lawrence	ESTERLINE TECHNOLOGIES CORP	ESL	$4.06 	$1.53 	6.609	0.184
M. Farooq Kathwari	ETHAN ALLEN INTERIORS INC	ETH	$2.23 	$0.59 	6.349	-0.229
Joseph V. Taranto	EVEREST RE GROUP LTD	RE	$6.78 	$4.64 	6.831	0.666
Rich Boehne	EW SCRIPPS  -CL A	SSP	$2.32 	$0.78 	6.364	-0.11
Pedro P. Rodriguez	EXAR CORP	EXAR	$1.35 	$0.15 	6.13	-0.836
John W. Rowe	EXELON CORP	EXC	$9.42 	$18.64 	6.974	1.271
Dara Khosrowshahi	EXPEDIA INC	EXPE	$5.17 	$3.35 	6.714	0.525
Peter J. Rose	EXPEDITORS INTL WASH INC	EXPD	$6.56 	$5.97 	6.817	0.776
Paul R. Johnston, Ph.D., P.E.	EXPONENT INC	EXPO	$1.59 	$0.25 	6.202	-0.604
George Paz	EXPRESS SCRIPTS INC	ESRX	$10.31 	$45.06 	7.013	1.654
Ernie L. Danner	EXTERRAN HOLDINGS INC	EXH	$4.67 	$2.46 	6.67	0.391
Spencer F. Kirk	EXTRA SPACE STORAGE INC	EXR	$2.17 	$0.29 	6.337	-0.532
Bob L. Corey	EXTREME NETWORKS INC	EXTR	$1.23 	$0.31 	6.088	-0.51
Rex W. Tillerson	EXXON MOBIL CORP	XOM	$28.95 	$341.58 	7.462	2.533
Stephen J. Gurgovits	F N B CORP/FL	FNB	$2.45 	$0.49 	6.39	-0.31
John McAdam	F5 NETWORKS INC	FFIV	$8.89 	$0.88 	6.949	-0.055
Philip A. Hadley	FACTSET RESEARCH SYSTEMS INC	FDS	$1.64 	$0.64 	6.214	-0.193
Mark N. Greene	FAIR ISAAC CORP	FICO	$1.84 	$0.61 	6.265	-0.218
Mark S. Thompson	FAIRCHILD SEMICONDUCTOR INTL	FCS	$3.44 	$1.60 	6.536	0.204
David L. Hauser	FAIRPOINT COMMUNICATIONS INC	FRP	$2.19 	$1.08 	6.341	0.035
Howard R. Levine	FAMILY DOLLAR STORES	FDO	$5.30 	$7.87 	6.725	0.896
Michael J. Williams	FANNIE MAE	3FNMA	$5.59 	$154.90 	6.748	2.19
Jay W. Freeland	FARO TECHNOLOGIES INC	FARO	$0.93 	$0.19 	5.97	-0.717
Willard D. Oberton	FASTENAL CO	FAST	$3.15 	$2.27 	6.498	0.356
Charles Edgar Haldeman, Jr.	FEDERAL HOME LOAN MORTG CORP	3FMCC	$5.45 	$98.17 	6.737	1.992
Donald C. Wood, CPA	FEDERAL REALTY INVESTMENT TR	FRT	$9.76 	$0.55 	6.99	-0.263
William H. Osborne	FEDERAL SIGNAL CORP	FSS	$3.71 	$0.73 	6.57	-0.139
Jos? Maria Alapont	FEDERAL-MOGUL CORP	FDML	$6.93 	$6.22 	6.841	0.794
John Christopher Donahue	FEDERATED INVESTORS INC	FII	$3.60 	$0.95 	6.557	-0.021
Frederick W. Smith	FEDEX CORP	FDX	$7.26 	$39.30 	6.861	1.594
Don Kania, Ph.D.	FEI CO	FEIC	$2.83 	$0.63 	6.452	-0.198
James F. Kirsch	FERRO CORP	FOE	$4.74 	$2.10 	6.676	0.323
Alan L. Stinson	FIDELITY NATIONAL FINANCIAL	FNF	$1.89 	$5.74 	6.276	0.759
Frank Martire	FIDELITY NATIONAL INFO SVCS	FIS	$25.76 	$5.19 	7.411	0.715
Kevin T. Kabat	FIFTH THIRD BANCORP	FITB	$4.82 	$7.07 	6.683	0.849
Jeffrey N. Maggioncalda	FINANCIAL ENGINES INC	FNGN	$0.61 	$0.11 	5.781	-0.952
Glenn Lyon	FINISH LINE INC  -CL A	FINL	$3.62 	$1.23 	6.559	0.09
Dennis J. Gilmore	FIRST AMERICAN FINANCIAL CP	FAF	$6.26 	$3.90 	6.796	0.591
Aurelio Aleman	FIRST BANCORP P R	FBP	$0.81 	$1.00 	5.909	-0.001
Rick L. Wessel	FIRST CASH FINANCIAL SVCS	FCFS	$3.26 	$0.43 	6.514	-0.365
John J. Dolan	FIRST COMMONWLTH FINL CP/PA	FCF	$0.48 	$0.32 	5.678	-0.498
Joe Forehand	FIRST DATA CORP	3511B	$7.24 	$10.38 	6.86	1.016
Claude Davis	FIRST FINL BANCORP INC/OH	FFBC	$2.25 	$0.49 	6.352	-0.311
F. Scott Dueser	FIRST FINL BANKSHARES INC	FFIN	$0.66 	$0.20 	5.821	-0.701
Bryan Jordan	FIRST HORIZON NATIONAL CORP	FHN	$3.57 	$1.82 	6.553	0.26
Michael L. Scudder	FIRST MIDWEST BANCORP INC	FMBI	$1.78 	$0.43 	6.251	-0.363
John R. Koelmel	FIRST NIAGARA FINANCIAL GRP	FNFG	$3.13 	$0.93 	6.496	-0.03
Robert J. Gillette	FIRST SOLAR INC	FSLR	$13.32 	$2.56 	7.124	0.409
Anthony J. Alexander	FIRSTENERGY CORP	FE	$11.63 	$13.25 	7.065	1.122
Paul Greig	FIRSTMERIT CORP	FMER	$5.51 	$0.75 	6.741	-0.123
Jeffery Yabuki	FISERV INC	FISV	$5.89 	$4.13 	6.77	0.616
Joseph P. Campanelli	FLAGSTAR BANCORP INC	FBC	$6.47 	$0.95 	6.811	-0.022
Earl R. Lewis	FLIR SYSTEMS INC	FLIR	$5.37 	$1.39 	6.73	0.142
Charles M. Brown	FLOW INTL CORP	FLOW	$1.32 	$0.22 	6.121	-0.664
George E. Deese	FLOWERS FOODS INC	FLO	$4.48 	$2.57 	6.651	0.411
Mark A. Blinn	FLOWSERVE CORP	FLS	$4.88 	$4.03 	6.688	0.606
Alan L. Boeckmann, BE (Electrical Eng)	FLUOR CORP	FLR	$9.87 	$20.85 	6.994	1.319
Pierre R. Brondeau	FMC CORP	FMC	$9.76 	$3.12 	6.99	0.494
Peter D. Kinnear	FMC TECHNOLOGIES INC	FTI	$10.99 	$4.13 	7.041	0.615
Kenneth C. Hicks	FOOT LOCKER INC	FL	$8.06 	$5.05 	6.906	0.703
Alan R. Mulally	FORD MOTOR CO	F	$26.52 	$128.95 	7.424	2.11
Howard Solomon	FOREST LABORATORIES  -CL A	FRX	$8.86 	$4.38 	6.948	0.641
H. Craig Clark	FOREST OIL CORP	FST	$5.95 	$0.85 	6.774	-0.069
James M. DeCosmo	FORESTAR GROUP INC	FOR	$2.41 	$0.10 	6.381	-0.994
George F. Colony	FORRESTER RESEARCH INC	FORR	$0.59 	$0.25 	5.773	-0.601
Bruce A. Carbonari	FORTUNE BRANDS INC	FO	$11.24 	$6.57 	7.051	0.818
Bruce A. Campbell	FORWARD AIR CORP	FWRD	$1.89 	$0.48 	6.276	-0.315
Kosta N. Kartsotis	FOSSIL INC	FOSL	$0.00 	$2.03 	0	0.308
Raymond J. Milchovich	FOSTER WHEELER AG	FWLT	$2.28 	$4.06 	6.357	0.608
Robert A. Whitman	FRANKLIN COVEY CO	FC	$2.25 	$0.14 	6.352	-0.864
Gregory Eugene Johnson, CPA	FRANKLIN RESOURCES INC	BEN	$6.73 	$5.91 	6.828	0.772
George J. Carter	FRANKLIN STREET PROPERTIES	FSP	$0.23 	$0.12 	5.364	-0.905
Bruce A. Efird	FREDS INC	FRED	$1.34 	$1.84 	6.126	0.265
Richard C. Adkerson	FREEPORT-MCMORAN COP&GOLD	FCX	$39.54 	$18.98 	7.597	1.278
Mary Agnes Wilderotter	FRONTIER COMMUNICATIONS CORP	FTR	$8.58 	$3.80 	6.934	0.58
Michael C. Jennings	FRONTIER OIL CORP	FTO	$4.72 	$5.88 	6.674	0.769
Stoney M. Stubbs, Jr.	FROZEN FOOD EXPRESS INDS	FFEX	$0.43 	$0.37 	5.629	-0.433
Jack B. Dunn, Iv.	FTI CONSULTING INC	FCN	$3.59 	$1.40 	6.555	0.147
Michele Volpi	FULLER (H. B.) CO	FUL	$7.33 	$1.36 	6.865	0.132
R. Scott Smith, Jr.	FULTON FINANCIAL CORP	FULT	$1.51 	$0.93 	6.18	-0.031
Ralph P. Scozzafava	FURNITURE BRANDS INTL INC	FBN	$6.63 	$1.16 	6.821	0.064
Douglas A. Milroy	G&K SERVICES INC  -CL A	GKSR	$1.77 	$0.83 	6.248	-0.083
Douglas A. Milroy	G&K SERVICES INC  -CL A	GKSR	$2.30 	$0.83 	6.361	-0.083
J. Paul Raines	GAMESTOP CORP	GME	$5.27 	$9.47 	6.722	0.977
Craig Dubow	GANNETT CO	GCI	$9.41 	$5.44 	6.973	0.735
Glenn K. Murphy, B.A.	GAP INC	GPS	$5.95 	$14.66 	6.774	1.166
Barry L. Pennypacker	GARDNER DENVER INC	GDI	$5.45 	$1.90 	6.736	0.278
Eugene A. Hall	GARTNER INC	IT	$8.18 	$1.29 	6.913	0.11
Brian A. Kenney	GATX CORP	GMT	$3.43 	$1.17 	6.535	0.067
Carl W. Hull	GEN-PROBE INC	GPRO	$3.00 	$0.54 	6.477	-0.265
Scott Seymour	GENCORP INC	GY	$3.02 	$0.86 	6.48	-0.067
Gregory B. Kenny	GENERAL CABLE CORP/DE	BGC	$3.78 	$4.87 	6.577	0.687
Ronald A. Duncan	GENERAL COMMUNICATION  -CL A	GNCMA	$2.31 	$0.65 	6.364	-0.186
Jay L. Johnson	GENERAL DYNAMICS CORP	GD	$13.75 	$32.47 	7.138	1.511
Jeffrey R. Immelt	GENERAL ELECTRIC CO	GE	$21.43 	$149.06 	7.331	2.173
Adam S. Metz	GENERAL GROWTH PPTYS INC	GGP	$53.28 	$2.85 	7.727	0.454
Kendall J. Powell	GENERAL MILLS INC	GIS	$12.27 	$14.88 	7.089	1.173
Edward E. Whitacre, Jr.	GENERAL MOTORS CO	GM	$5.00 	$135.59 	6.699	2.132
Robert J. Dennis	GENESCO INC	GCO	$4.91 	$1.79 	6.691	0.253
Edward R. Muller	GENON ENERGY INC	GEN	$6.09 	$2.27 	6.785	0.356
Fred T. Bauer	GENTEX CORP	GNTX	$1.26 	$0.82 	6.1	-0.088
Tony Strange	GENTIVA HEALTH SERVICES INC	GTIV	$5.47 	$1.45 	6.738	0.16
Thomas Gallagher	GENUINE PARTS CO	GPC	$5.55 	$11.21 	6.744	1.05
Michael D. Fraizer	GENWORTH FINANCIAL INC	GNW	$6.93 	$10.10 	6.841	1.004
Henri A. Termeer	GENZYME CORP	GENZ	$9.65 		6.984	
George C. Zoley	GEO GROUP INC	GEO	$3.49 	$1.27 	6.542	0.104
Frank A. Lodzinski	GEORESOURCES INC	GEOI	$0.34 	$0.10 	5.534	-0.99
Paul D. Carrico	GEORGIA GULF CORP	GGC	$2.79 	$2.82 	6.446	0.45
Marc T. Giles	GERBER SCIENTIFIC INC	GRB	$1.57 	$0.46 	6.195	-0.335
David B. Driscoll	GETTY REALTY CORP	GTY	$0.70 	$0.09 	5.844	-1.052
Brian J. Lipke	GIBRALTAR INDUSTRIES INC	ROCK	$1.69 	$0.69 	6.227	-0.164
John C. Martin, Ph.D.	GILEAD SCIENCES INC	GILD	$14.24 	$7.95 	7.154	0.9
Michael J. Blodnick	GLACIER BANCORP INC	GBCI	$0.38 	$0.38 	5.575	-0.425
George H. Glatfelter, II	GLATFELTER	GLT	$5.46 	$1.47 	6.737	0.166
John Legere	GLOBAL CROSSING LTD	GLBC	$4.70 	$2.61 	6.672	0.416
Paul R. Garcia	GLOBAL PAYMENTS INC	GPN	$5.77 		6.761	
Lloyd C. Blankfein	GOLDMAN SACHS GROUP INC	GS	$14.12 	$45.97 	7.15	1.662
Marshall O. Larsen	GOODRICH CORP	GR	$9.83 	$6.97 	6.992	0.843
Richard J. Kramer	GOODYEAR TIRE & RUBBER CO	GT	$10.13 	$18.83 	7.006	1.275
Eric E. Schmidt, Ph.D.	GOOGLE INC	GOOG	$0.31 	$29.32 	5.496	1.467
Alfred E. Festa	GRACE (W R) & CO	GRA	$5.65 	$2.68 	6.752	0.427
Patrick J. McHale	GRACO INC	GGG	$2.96 	$0.74 	6.471	-0.128
Craig S. Shular	GRAFTECH INTERNATIONAL LTD	GTI	$3.33 	$1.01 	6.523	0.003
James T. Ryan	GRAINGER (W W) INC	GWW	$7.65 	$7.18 	6.884	0.856
James H. Roberts	GRANITE CONSTRUCTION INC	GVA	$1.04 	$1.76 	6.018	0.246
Samuel Martin	GREAT ATLANTIC & PAC TEA CO	GAPTQ	$2.69 	$8.08 	6.43	0.907
M. J. Chesser	GREAT PLAINS ENERGY INC	GXP	$4.85 	$2.26 	6.685	0.353
Thomas J. Hook	GREATBATCH INC	GB	$3.66 	$0.53 	6.564	-0.273
Lawrence J. Blanford	GREEN MTN COFFEE ROASTERS	GMCR	$2.41 	$1.36 	6.381	0.133
Scott L. Bok, J.D.	GREENHILL & CO INC	GHL	$8.27 	$0.28 	6.918	-0.557
Michael J. Gasser	GREIF INC  -CL A	GEF	$5.70 	$3.46 	6.756	0.539
Ronald J. Kramer	GRIFFON CORP	GFF	$8.02 	$1.29 	6.904	0.112
Earl J. Hesterberg, Jr.	GROUP 1 AUTOMOTIVE INC	GPI	$5.43 	$5.51 	6.735	0.741
Thomas Gutierrez	GT ADVANCED TECHNOLOGIES INC	GTAT	$4.73 		6.675	
Paul Marciano	GUESS INC	GES	$15.43 	$2.37 	7.188	0.375
Kerry J. Chauvin	GULF ISLAND FABRICATION INC	GIFI	$1.00 	$0.25 	6	-0.605
James D. Palm	GULFPORT ENERGY CORP	GPOR	$0.35 	$0.13 	5.541	-0.894
Matthew K. McCauley	GYMBOREE CORP	GYMB	$37.12 		7.57	
Brian P. Concannon	HAEMONETICS CORP	HAE	$3.07 	$0.68 	6.487	-0.17
Irwin D. Simon	HAIN CELESTIAL GROUP INC	HAIN	$4.32 	$0.92 	6.636	-0.037
David J. Lesar, B.Sc., M.B.A., C.P.A.	HALLIBURTON CO	HAL	$14.89 	$17.97 	7.173	1.255
Jane F. Aggers	HANCOCK FABRICS INC	HKFI	$0.46 	$0.28 	5.662	-0.56
Carl J. Chaney	HANCOCK HOLDING CO	HBHC	$1.47 	$0.49 	6.166	-0.31
Albert A. Koch, CPA	HANDLEMAN CO	HDLM	$0.07 		4.819	
Glen M. Kassan	HANDY & HARMAN LTD	HNH	$0.00 	$0.58 	0	-0.235
Richard A. Noll	HANESBRANDS INC	HBI	$9.85 	$4.33 	6.993	0.636
Thomas F. Kirk, Ph.D.	HANGER ORTHOPEDIC GROUP INC	HGR	$4.79 	$0.82 	6.68	-0.088
Jay Seung Yoo	HANMI FINANCIAL CORP	HAFC	$0.42 	$0.17 	5.62	-0.77
Frederick H. Eppinger, Jr.	HANOVER INSURANCE GROUP INC	THG	$4.22 	$3.15 	6.625	0.499
Rodney C. Sacks	HANSEN NATURAL CORP	HANS	$0.68 	$1.30 	5.835	0.115
Keith E. Wandell	HARLEY-DAVIDSON INC	HOG	$6.42 	$4.86 	6.807	0.687
Dinesh C. Paliwal	HARMAN INTERNATIONAL INDS	HAR	$10.37 	$3.36 	7.016	0.527
Patrick J. Harshman	HARMONIC INC	HLIT	$2.31 	$0.42 	6.364	-0.373
Howard L. Lance	HARRIS CORP	HRS	$10.71 	$5.21 	7.03	0.717
Howard L. Lance	HARRIS CORP	HRS	$8.58 	$5.21 	6.933	0.717
Salvatore D. Fazzolari	HARSCO CORP	HSC	$1.42 	$3.04 	6.151	0.483
Larry Franklin	HARTE HANKS INC	HHS	$0.99 	$0.86 	5.996	-0.065
Liam E. McGee	HARTFORD FINANCIAL SERVICES	HIG	$10.60 	$22.17 	7.025	1.346
James A. Edmiston	HARVEST NATURAL RESOURCES	HNR	$1.96 	$0.01 	6.292	-1.971
Brian D. Goldner	HASBRO INC	HAS	$23.15 	$4.00 	7.365	0.602
Clarence H. Smith	HAVERTY FURNITURE	HVT	$0.96 	$0.62 	5.983	-0.207
Constance H. Lau	HAWAIIAN ELECTRIC INDS	HE	$6.57 	$2.67 	6.817	0.426
John R. Hawkins	HAWKINS INC	HWKN	$1.77 	$0.30 	6.248	-0.526
Mark M. Comerford	HAYNES INTERNATIONAL INC	HAYN	$1.44 	$0.38 	6.159	-0.418
Richard M. Bracken	HCA HOLDINGS INC	HCA	$38.20 	$30.68 	7.582	1.487
John N. Molbeck, Jr.	HCC INSURANCE HOLDINGS INC	HCC	$9.33 	$2.30 	6.97	0.362
James F. Flaherty, III	HCP INC	HCP	$7.97 	$1.26 	6.902	0.1
Kirk A. Benson	HEADWATERS INC	HW	$1.94 	$0.66 	6.288	-0.184
George L. Chapman	HEALTH CARE REIT INC	HCN	$6.51 	$0.69 	6.814	-0.163
Gary D. Newsome	HEALTH MANAGEMENT ASSOC	HMA	$6.38 	$5.12 	6.805	0.709
Jay M. Gellert	HEALTH NET INC	HNT	$7.67 	$13.62 	6.885	1.134
David R. Emery	HEALTHCARE REALTY TRUST INC	HR	$3.24 	$0.26 	6.51	-0.584
Daniel P. McCartney	HEALTHCARE SERVICES GROUP	HCSG	$1.21 	$0.77 	6.083	-0.111
Phillip J. Hildebrand, CLU	HEALTHMARKETS INC	3799B	$6.72 	$0.86 	6.827	-0.065
Jay F. Grinney	HEALTHSOUTH CORP	HLS	$6.64 	$2.00 	6.822	0.301
Herbert A. Fritch	HEALTHSPRING INC	HS	$5.38 	$3.14 	6.731	0.496
Ben R. Leedle, Jr.	HEALTHWAYS INC	HWAY	$3.15 	$0.70 	6.498	-0.157
Russell A. Gerdin	HEARTLAND EXPRESS INC	HTLD	$0.30 	$0.50 	5.477	-0.301
Robert O. Carr	HEARTLAND PAYMENT SYSTEMS	HPY	$6.31 	$1.86 	6.8	0.271
Phillips S. Baker, Jr.	HECLA MINING CO	HL	$2.92 	$0.42 	6.465	-0.378
L. Kevin Kelly	HEIDRICK & STRUGGLES INTL	HSII	$1.89 	$0.51 	6.277	-0.29
William R. Johnson	HEINZ (H J) CO	HNZ	$18.48 	$10.71 	7.267	1.03
Gerald J. Rubin	HELEN OF TROY LTD	HELE	$11.27 	$0.78 	7.052	-0.11
Owen E. Kratz	HELIX ENERGY SOLUTIONS GROUP	HLX	$4.00 	$1.20 	6.602	0.079
Hans Helmerich	HELMERICH & PAYNE	HP	$3.97 	$1.88 	6.598	0.273
John F. Prim	HENRY (JACK) & ASSOCIATES	JKHY	$1.52 	$0.84 	6.182	-0.077
David J. West	HERSHEY CO	HSY	$10.49 	$5.67 	7.021	0.754
John B. Hess	HESS CORP	HES	$18.19 	$33.86 	7.26	1.53
Mark V. Hurd	HEWLETT-PACKARD CO	HPQ	$23.86 	$126.03 	7.378	2.1
David S. Seltzer	HI TECH PHARMACAL CO INC	HITK	$1.37 	$0.20 	6.136	-0.707
Jeffry O. Rosenthal	HIBBETT SPORTS INC	HIBB	$1.20 	$0.67 	6.077	-0.177
Edward J. Fritsch	HIGHWOODS PROPERTIES INC	HIW	$3.41 	$0.47 	6.533	-0.325
John J. Greisch	HILL-ROM HOLDINGS INC	HRC	$4.01 	$1.47 	6.603	0.167
Kenneth A. Camp	HILLENBRAND INC	HI	$5.53 	$0.75 	6.743	-0.125
Stephen G. Daly	HITTITE MICROWAVE CORP	HITT	$2.11 	$0.24 	6.323	-0.612
Bill Lucia, FLMI	HMS HOLDINGS CORP	HMSY	$1.49 	$0.30 	6.172	-0.519
Stanley A. Askren	HNI CORP	HNI	$3.99 	$1.69 	6.601	0.227
Matthew P. Clifton	HOLLYFRONTIER CORP	HFC	$5.82 	$8.32 	6.765	0.92
Robert A. Cascella	HOLOGIC INC	HOLX	$6.54 	$1.68 	6.816	0.225
C. Randall Sims	HOME BANCSHARES INC	HOMB	$0.91 	$0.18 	5.957	-0.741
Francis S. Blake	HOME DEPOT INC	HD	$10.45 	$68.00 	7.019	1.832
Edward J. Pettinella	HOME PROPERTIES INC	HME	$2.54 	$0.52 	6.405	-0.287
David M. Cote	HONEYWELL INTERNATIONAL INC	HON	$20.15 	$33.37 	7.304	1.523
Roy H. Bubbs	HOOPER HOLMES INC	HH	$0.91 	$0.17 	5.961	-0.779
Louis G. Lower, II	HORACE MANN EDUCATORS CORP	HMN	$2.19 	$0.98 	6.34	-0.011
Jeffrey M. Ettinger	HORMEL FOODS CORP	HRL	$10.45 	$7.22 	7.019	0.859
Todd M. Hornbeck	HORNBECK OFFSHORE SVCS INC	HOS	$3.22 	$0.42 	6.508	-0.376
Christopher B. Begley	HOSPIRA INC	HSP	$7.84 	$3.92 	6.894	0.593
John G. Murray	HOSPITALITY PROPERTIES TRUST	HPT	$0.15 	$1.09 	5.164	0.036
W. Edward Edward Walter	HOST HOTELS & RESORTS INC	HST	$7.54 	$4.44 	6.877	0.648
Elizabeth McLaughlin	HOT TOPIC INC	HOTT	$1.37 	$0.71 	6.136	-0.15
Ara K. Hovnanian	HOVNANIAN ENTRPRS INC  -CL A	HOV	$6.27 	$1.37 	6.797	0.137
Niall Booker	HSBC FINANCE CORP	HBC1	$4.63 	$9.78 	6.666	0.99
Irene M. Dorner	HSBC USA INC	3494B	$2.31 	$8.73 	6.363	0.941
Mindy F. Grossman	HSN INC	HSNI	$12.15 	$3.00 	7.084	0.477
David P. Yeager	HUB GROUP INC  -CL A	HUBG	$1.72 	$1.83 	6.236	0.263
Timothy H. Powers	HUBBELL INC  -CL B	HUB.B	$5.72 	$2.54 	6.758	0.405
Ronald E. Hermance, Jr.	HUDSON CITY BANCORP INC	HCBK	$8.83 	$2.95 	6.946	0.469
Michael B. McCallister	HUMANA INC	HUM	$6.15 	$33.87 	6.789	1.53
Kirk Thompson	HUNT (JB) TRANSPRT SVCS INC	JBHT	$3.04 	$3.79 	6.483	0.579
Stephen D. Steinour	HUNTINGTON BANCSHARES	HBAN	$4.93 	$3.19 	6.693	0.503
C. Michael Petters	HUNTINGTON INGALLS IND INC	HII	$5.72 	$6.72 	6.757	0.828
Wayne M. Fortun	HUTCHINSON TECHNOLOGY INC	HTCH	$1.23 	$0.35 	6.09	-0.459
Barry Diller	IAC/INTERACTIVECORP	IACI	$3.72 	$1.64 	6.571	0.214
Neil Cole	ICONIX BRAND GROUP INC	ICON	$5.08 	$0.33 	6.706	-0.478
George A. Lopez, M.D.	ICU MEDICAL INC	ICUI	$2.69 	$0.29 	6.43	-0.546
J. LaMont Keen	IDACORP INC	IDA	$3.69 	$1.04 	6.567	0.015
Felix Marx	IDENTIVE GROUP INC	INVE	$0.77 	$0.09 	5.885	-1.071
Lawrence D. Kingsley	IDEX CORP	IEX	$5.25 	$1.51 	6.72	0.18
Jonathan W. Ayers	IDEXX LABS INC	IDXX	$3.37 	$1.10 	6.527	0.043
Phaneesh Murthy	IGATE CORP	IGTE	$3.14 	$0.28 	6.497	-0.552
Francis J. Kramer	II-VI INC	IIVI	$2.18 	$0.35 	6.338	-0.462
Francis J. Kramer	II-VI INC	IIVI	$3.20 	$0.35 	6.505	-0.462
David B. Speer	ILLINOIS TOOL WORKS	ITW	$11.19 	$15.87 	7.049	1.201
Frank P. Russomanno	IMATION CORP	IMN	$1.78 	$1.46 	6.249	0.165
Gioacchino Eatz De Chirico	IMMUCOR INC	BLUD	$1.79 		6.252	
Paul A. Friedman, M.D.	INCYTE CORP	INCY	$2.17 	$0.17 	6.337	-0.77
Christopher Oddleifson	INDEPENDENT BANK CORP/MA	INDB	$1.98 	$0.25 	6.297	-0.603
Michael M. Magee, Jr.	INDEPENDENT BANK CORP/MI	IBCP	$0.39 	$0.20 	5.586	-0.693
James R. Gober	INFINITY PROPERTY & CAS CORP	IPCC	$1.84 	$0.96 	6.265	-0.017
Sohaib Abbasi	INFORMATICA CORP	INFA	$4.53 	$0.65 	6.656	-0.187
William J. Lansing, J.D.	INFOSPACE INC	INSP	$3.51 	$0.25 	6.545	-0.608
Michael W. Lamach	INGERSOLL-RAND PLC	IR	$10.38 	$14.08 	7.016	1.149
Gregory M. E. Spierkel	INGRAM MICRO INC	IM	$6.40 	$34.59 	6.806	1.539
Mark E. Zalatoris	INLAND REAL ESTATE CORP	IRC	$0.67 	$0.16 	5.823	-0.789
Kenneth T. Lamneck	INSIGHT ENTERPRISES INC	NSIT	$5.66 	$4.81 	6.752	0.682
J. Joseph Burgess	INSITUFORM TECHNOLOGIES-CL A	INSU	$2.83 	$0.92 	6.452	-0.039
Paul J. Sarvadi	INSPERITY INC	NSP	$3.21 	$1.72 	6.507	0.235
H. O. Woltz, III	INSTEEL INDUSTRIES	IIIN	$1.17 	$0.21 	6.07	-0.675
Stuart M. Essig, Ph.D.	INTEGRA LIFESCIENCES HLDGS	IART	$6.19 	$0.73 	6.791	-0.135
Paul G. Casner, Jr.	INTEGRAL SYSTEMS INC	ISYS	$0.40 	$0.18 	5.601	-0.75
Theodore L. Tewksbury, III, Ph.D.	INTEGRATED DEVICE TECH INC	IDTI	$1.99 	$0.63 	6.3	-0.204
Charles A. Schrock	INTEGRYS ENERGY GROUP INC	TEG	$6.51 	$5.20 	6.814	0.716
Paul S. Otellini	INTEL CORP	INTC	$15.65 	$43.62 	7.195	1.64
Jean Madar	INTER PARFUMS INC	IPAR	$0.49 	$0.46 	5.688	-0.337
Thomas Peterffy	INTERACTIVE BROKERS GROUP	IBKR	$1.35 	$0.99 	6.13	-0.004
Donald E. Brown, M.D.	INTERACTIVE INTELLIGENCE GRP	ININ	$1.37 	$0.17 	6.136	-0.779
Jeffrey C. Sprecher	INTERCONTINENTALEXCHANGE INC	ICE	$3.18 	$1.15 	6.503	0.061
Daniel T. Hendrix	INTERFACE INC  -CL A	IFSIA	$3.65 	$0.96 	6.563	-0.017
Patrick J. Byrne	INTERMEC INC	IN	$3.52 	$0.68 	6.546	-0.168
J. Eric Cooney	INTERNAP NETWORK SVCS CORP	INAP	$1.96 	$0.24 	6.291	-0.612
